2025-09-25 17:14:41,725 p=7132 u=root n=ansible | [DEPRECATION WARNING]: DEFAULT_GATHER_SUBSET option, the module_defaults 
2025-09-25 17:17:46,779 p=7374 u=root n=ansible | changed: [test-master]
2025-09-25 17:17:46,826 p=7374 u=root n=ansible | TASK [swarm_init : Save worker join token (only if master)] ********************
2025-09-25 17:17:48,246 p=7374 u=root n=ansible | changed: [test-master]
2025-09-25 17:17:48,280 p=7374 u=root n=ansible | TASK [swarm_init : Write join token to file] ***********************************
2025-09-25 17:17:51,236 p=7374 u=root n=ansible | changed: [test-master]
2025-09-25 17:17:51,315 p=7374 u=root n=ansible | PLAY [Join workers to Swarm] ***************************************************
2025-09-25 17:17:51,368 p=7374 u=root n=ansible | TASK [swarm_join : Check if node is already part of a Swarm] *******************
2025-09-25 17:17:53,107 p=7374 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:17:53,152 p=7374 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:17:53,166 p=7374 u=root n=ansible | TASK [swarm_join : Join worker to Swarm] ***************************************
2025-09-25 17:19:52,965 p=7374 u=root n=ansible | fatal: [test-worker1]: FAILED! => {"attempts": 5, "changed": true, "cmd": "docker swarm join --token SWMTKN-1-0hlmf760wojinx5z49tsg2v0bzb8a4oecv3rmv3yp6n7abkdu4-3pyq7vqaym7lwssuww10g8c8a 192.168.100.7:2377", "delta": "0:00:10.078818", "end": "2025-09-25 17:19:52.766882", "msg": "non-zero return code", "rc": 1, "start": "2025-09-25 17:19:42.688064", "stderr": "Error response from daemon: rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing: dial tcp 192.168.100.7:2377: connect: no route to host\"", "stderr_lines": ["Error response from daemon: rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing: dial tcp 192.168.100.7:2377: connect: no route to host\""], "stdout": "", "stdout_lines": []}
2025-09-25 17:19:53,059 p=7374 u=root n=ansible | fatal: [test-worker2]: FAILED! => {"attempts": 5, "changed": true, "cmd": "docker swarm join --token SWMTKN-1-0hlmf760wojinx5z49tsg2v0bzb8a4oecv3rmv3yp6n7abkdu4-3pyq7vqaym7lwssuww10g8c8a 192.168.100.7:2377", "delta": "0:00:10.103424", "end": "2025-09-25 17:19:52.846265", "msg": "non-zero return code", "rc": 1, "start": "2025-09-25 17:19:42.742841", "stderr": "Error response from daemon: rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing: dial tcp 192.168.100.7:2377: connect: no route to host\"", "stderr_lines": ["Error response from daemon: rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing: dial tcp 192.168.100.7:2377: connect: no route to host\""], "stdout": "", "stdout_lines": []}
2025-09-25 17:19:53,061 p=7374 u=root n=ansible | PLAY RECAP *********************************************************************
2025-09-25 17:19:53,061 p=7374 u=root n=ansible | test-master                : ok=18   changed=14   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-09-25 17:19:53,061 p=7374 u=root n=ansible | test-worker1               : ok=15   changed=10   unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2025-09-25 17:19:53,061 p=7374 u=root n=ansible | test-worker2               : ok=15   changed=10   unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2025-09-25 17:20:11,800 p=13787 u=root n=ansible | [DEPRECATION WARNING]: DEFAULT_GATHER_SUBSET option, the module_defaults keyword is a more generic version and can apply to all calls to the 
M(ansible.builtin.gather_facts) or M(ansible.builtin.setup) actions, use module_defaults instead. This feature will be removed from ansible-core in version 
2.18. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-09-25 17:20:12,171 p=13787 u=root n=ansible | PLAY [Bootstrap common prerequisites] ************************************************************************************************************************
2025-09-25 17:20:12,222 p=13787 u=root n=ansible | TASK [Gathering Facts] ***************************************************************************************************************************************
2025-09-25 17:20:30,683 p=13787 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:20:30,730 p=13787 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:20:30,974 p=13787 u=root n=ansible | ok: [test-master]
2025-09-25 17:20:31,023 p=13787 u=root n=ansible | TASK [common : Remove old Docker packages] *******************************************************************************************************************
2025-09-25 17:20:34,214 p=13787 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:20:34,261 p=13787 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:20:35,207 p=13787 u=root n=ansible | ok: [test-master]
2025-09-25 17:20:35,218 p=13787 u=root n=ansible | TASK [common : Remove old Docker repo if exists] *************************************************************************************************************
2025-09-25 17:20:37,172 p=13787 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:20:37,288 p=13787 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:20:37,380 p=13787 u=root n=ansible | changed: [test-master]
2025-09-25 17:20:37,405 p=13787 u=root n=ansible | TASK [common : Clean dnf cache] ******************************************************************************************************************************
2025-09-25 17:20:40,006 p=13787 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:20:40,095 p=13787 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:20:40,282 p=13787 u=root n=ansible | changed: [test-master]
2025-09-25 17:20:40,307 p=13787 u=root n=ansible | TASK [common : Ensure python3 installed] *********************************************************************************************************************
2025-09-25 17:20:40,564 p=13787 u=root n=ansible | changed: [test-master]
